Código da Disciplina;Turma;Nome da Disciplina;Horas Aula;Ofertas;Horário/Local;Professor;Curso
CAD5103;01342C;Administração I;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CAD5103;01342D;Administração I;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7141;01342C;Lógica Instrumental I;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7143;01342C;Empreendedorismo I;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7144;01342;Tutoria Acadêmica I;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7145;01342;Gestão da Informação;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7201;02342C;Sistemas de Organização do;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7204;02342C;Tutoria Acadêmica II;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7301;03342A;Introdução à Representação Temática;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7301;03342C;Introdução à Representação Temática;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7302;03342A;Introdução à Representação Descritiva;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7302;03342C;Introdução à Representação Descritiva;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7303;03342A;Metodologia da Pesquisa;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7303;03342C;Metodologia da Pesquisa;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7304;03342A;Introdução à Bancos de Dados;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7304;03342C;Introdução à Bancos de Dados;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7306;03342A;Competência Informacional;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7306;03342C;Competência Informacional;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7309;02342C;Gestão de Processos Organizacionais;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7309;03342A;Gestão de Processos Organizacionais;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7401;04342A;Estudos Métricos da Informação;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7401;04342C;Estudos Métricos da Informação;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7402;04342A;Editoração Científica;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7402;04342C;Editoração Científica;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7403;04342C;Acessibilidade e Inclusão Digital;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7404;04342A;Planejamento Estratégico;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7404;04342C;Planejamento Estratégico;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7405;04342A;Projeto de Informatização;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7405;04342C;Projeto de Informatização;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7406;04342A;Preservação Digital;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7406;04342C;Preservação Digital;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7412;02342C;Marketing da Informação;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
