Código da Disciplina;Turma;Nome da Disciplina;Horas Aula;Ofertas;Horário/Local;Professor;Curso
CAD5103;01342C;Administração I;72;12;2.1830-4 / AUX-ALOCAR;Monica Scoz Mendes;342 - Ciência da Informação
CAD5103;01342D;Administração I;72;12;2.1830-4 / AUX-ALOCAR;A contratar;342 - Ciência da Informação
CIN7141;01342C;Lógica Instrumental I;36;30;4.1830-2 / AUX-ALOCAR;Ilson Wilmar Rodrigues Filho;342 - Ciência da Informação
CIN7143;01342C;Empreendedorismo I;36;20;3.2020-2 / AUX-ALOCAR;Sabrina Borges Ramos de Carvalho;342 - Ciência da Informação
CIN7144;01342;Tutoria Acadêmica I;18;26;5.1510-1 / AUX-ALOCAR;Ricardo Alexandre Reinaldo de Moraes;342 - Ciência da Informação
CIN7145;01342;Gestão da Informação;36;28;5.1620-2 / AUX-ALOCAR;Nathalia Berger Werlang;342 - Ciência da Informação
CIN7201;02342C;Sistemas de Organização do Conhecimento;72;26;6.1830-4 / AUX-ALOCAR;Mariana Xavier de Oliveira;342 - Ciência da Informação
CIN7204;02342C;Tutoria Acadêmica II;18;26;5.1710-1 / CED-D109;Ricardo Alexandre Reinaldo de Moraes;342 - Ciência da Informação
CIN7301;03342A;Introdução à Representação Temática;36;12;3.1010-2 / AUX-ALOCAR;Mariana Xavier de Oliveira;342 - Ciência da Informação
CIN7301;03342C;Introdução à Representação Temática;36;12;3.2020-2 / AUX-ALOCAR;A contratar;342 - Ciência da Informação
CIN7302;03342A;Introdução à Representação Descritiva;36;12;6.1010-2 / CED-LBPREV;Maria Zanela;342 - Ciência da Informação
CIN7302;03342C;Introdução à Representação Descritiva;36;12;5.1830-2 / AUX-ALOCAR;Edgar Bisset Alvarez;342 - Ciência da Informação
CIN7303;03342A;Metodologia da Pesquisa;36;12;2.1010-2 / CED-LBPREV;Luis Roberto Sousa Mendes;342 - Ciência da Informação
CIN7303;03342C;Metodologia da Pesquisa;36;12;2.2020-2 / CED-103 C;Maria Zanela;342 - Ciência da Informação
CIN7304;03342A;Introdução à Bancos de Dados;36;12;3.0820-2 / CED-LBTEC;Gustavo Medeiros de Araújo;342 - Ciência da Informação
CIN7304;03342C;Introdução à Bancos de Dados;36;12;5.2020-2 / CED-102 C;Gustavo Medeiros de Araújo;342 - Ciência da Informação
CIN7306;03342A;Competência Informacional;36;12;6.0820-2 / CED-LBPREV;Maria Zanela;342 - Ciência da Informação
CIN7306;03342C;Competência Informacional;36;12;2.1830-2 / CED-103 C;Maria Zanela;342 - Ciência da Informação
CIN7309;02342C;Gestão de Processos Organizacionais;72;24;4.1830-4 / CED-LBTEC;A contratar;342 - Ciência da Informação
CIN7309;03342A;Gestão de Processos Organizacionais;72;24;4.0820-4 / CED-LBTEC;A contratar;342 - Ciência da Informação
CIN7401;04342A;Estudos Métricos da Informação;72;12;2.0820-4 / CED-103 C;Adilson Luiz Pinto;342 - Ciência da Informação
CIN7401;04342C;Estudos Métricos da Informação;72;12;3.1830-4 / CED-103 C;Adilson Luiz Pinto;342 - Ciência da Informação
CIN7402;04342A;Editoração Científica;36;12;6.1010-2 / CED-LBTEC;Enrique Muriel Torrado;342 - Ciência da Informação
CIN7402;04342C;Editoração Científica;36;12;6.1830-2 / CED-103 C;Enrique Muriel Torrado;342 - Ciência da Informação
